rank,median_tg_tokens_per_sec,median_pp_tokens_per_sec,median_ttft_ms,success_count,failed_count,config_key
1,50.696,437.307,,3,0,"[[""flash_attention"",true],[""kv_type_key"",""f16""],[""kv_type_value"",""f16""],[""mmap"",true],[""n_batch"",512],[""n_gpu_layers"",99],[""n_ubatch"",128],[""threads"",8]]"
2,48.461,403.513,,3,0,"[[""flash_attention"",true],[""kv_type_key"",""f16""],[""kv_type_value"",""f16""],[""mmap"",true],[""n_batch"",128],[""n_gpu_layers"",99],[""n_ubatch"",128],[""threads"",8]]"
3,47.955,388.809,,2,0,"[[""flash_attention"",true],[""kv_type_key"",""f16""],[""kv_type_value"",""f16""],[""mmap"",true],[""n_batch"",1024],[""n_gpu_layers"",99],[""n_ubatch"",128],[""threads"",8]]"
4,47.831,429.342,,3,0,"[[""flash_attention"",true],[""kv_type_key"",""f16""],[""kv_type_value"",""f16""],[""mmap"",true],[""n_batch"",256],[""n_gpu_layers"",99],[""n_ubatch"",128],[""threads"",8]]"
5,47.161,305.657,,3,0,"[[""flash_attention"",true],[""kv_type_key"",""f16""],[""kv_type_value"",""f16""],[""mlock"",false],[""mmap"",true],[""n_batch"",256],[""n_ctx"",4096],[""n_gpu_layers"",99],[""n_ubatch"",64],[""threads"",6],[""threads_batch"",6]]"
6,45.859,301.35,,3,0,"[[""flash_attention"",false],[""kv_type_key"",""q8_0""],[""kv_type_value"",""f16""],[""mlock"",false],[""mmap"",true],[""n_batch"",256],[""n_ctx"",4096],[""n_gpu_layers"",99],[""n_ubatch"",64],[""threads"",6],[""threads_batch"",6]]"
7,45.233,391.377,,3,0,"[[""flash_attention"",false],[""kv_type_key"",""f16""],[""kv_type_value"",""f16""],[""mlock"",false],[""mmap"",true],[""n_batch"",512],[""n_ctx"",4096],[""n_gpu_layers"",99],[""n_ubatch"",64],[""threads"",6],[""threads_batch"",6]]"
8,44.081,460.275,,3,0,"[[""flash_attention"",false],[""kv_type_key"",""f16""],[""kv_type_value"",""f16""],[""mlock"",false],[""mmap"",true],[""n_batch"",256],[""n_ctx"",4096],[""n_gpu_layers"",99],[""n_ubatch"",64],[""threads"",6],[""threads_batch"",6]]"
9,43.139,386.218,,3,0,"[[""flash_attention"",false],[""kv_type_key"",""f16""],[""kv_type_value"",""f16""],[""mlock"",false],[""mmap"",true],[""n_batch"",1024],[""n_ctx"",4096],[""n_gpu_layers"",99],[""n_ubatch"",64],[""threads"",6],[""threads_batch"",6]]"
10,42.53,280.325,,3,0,"[[""flash_attention"",false],[""kv_type_key"",""f16""],[""kv_type_value"",""f16""],[""mlock"",false],[""mmap"",true],[""n_batch"",256],[""n_ctx"",4096],[""n_gpu_layers"",99],[""n_ubatch"",64],[""threads"",10],[""threads_batch"",6]]"
